"Website","Title","Author","Publication Date","Link","Picture Link","Category","Topic","Relevance"
"Vedomosti.ru","«Море великих»: берега Бретани и знойное крымское побережье","Александр Быковский","2025-08-01T00:03:19","https://www.vedomosti.ru/opinion/columns/2025/08/01/1128467-more-velikih","https://cdn.vdmsti.ru/image/2025/5w/1ebi1m/normal-1t7p.jpg","Мнения","Travels and tourism","1"
"Vedomosti.ru","Минпромторг увеличит скидку на льготный лизинг легких коммерческих авто до 20%","Ведомости","2025-09-02T14:38:31","https://www.vedomosti.ru/auto/news/2025/09/02/1135940-minpromtorg-uvelichit","https://cdn.vdmsti.ru/image/2025/6t/unu16/normal-13ql.jpg","Авто / Коммерческий транспорт","Politics","1"
"Lenta.ru","""Бойцы «Ахмата» просят силовиков вмешаться в конфликт со спортсменом Дивничем. Ветеран СВО заявил, что они «унижают сами себя»""","Наталья Анисеева","2025-12-23T16:18:31","https://lenta.ru/news/2025/12/23/boytsy-ahmata-prosyat-silovikov-vmeshatsya-v-konflikt-so-sportsmenom-divnichem-veteran-svo-zayavil-chto-oni-unizhayut-sami-sebya/","https://icdn.lenta.ru/images/2025/12/23/15/20251223154128925/pic_0bbdf9f1b46cb1b5cf814e76ac06acd7.jpg","Россия","Politics","4"
"RG","""Сергей Кирьяков: Гусеву необходимо начать работать уже сейчас, во время отпуска""","RG","2025-12-23T22:42:53","https://rg.ru/2025/12/23/vzletel-gusev-futbol.html","","","Unknown","5"
"Lenta.ru","В России объяснили нахождение беременных женщин в рядах ВСУ","Юлия Сычева","2025-12-21T13:56:06","https://lenta.ru/news/2025/12/21/v-rossii-ob-yasnili-nahozhdenie-beremennyh-zhenschin-v-ryadah-vsu/","https://icdn.lenta.ru/images/2025/12/21/13/20251221134314404/pic_c7ddcf61eeaa4fddcc3ecc3ee91190d0.jpg","Россия","Politics","2"
"Vedomosti.ru","«Уралхим» может открыть представительский офис рядом с мэрией Москвы","Екатерина Волкова","2025-08-26T00:55:09","https://www.vedomosti.ru/realty/articles/2025/08/26/1134094-uralhim-mozhet-otkrit-ofis-ryadom-s-meriei-moskvi","https://cdn.vdmsti.ru/image/2025/6m/38nu/normal-47.jpg","Недвижимость / Коммерческая недвижимость","Science and tech","1"
"RG","В Москве технологии Smart City стали повседневной реальностью","RG","2025-12-23T18:43:15","https://rg.ru/2025/12/23/reg-cfo/v-moskve-tehnologii-smart-city-stali-povsednevnoj-realnostiu.html","","","Unknown","4"
"Vedomosti.ru","Президент «АвтоВАЗа» назвал маловероятным возвращение Renault и Nissan","Ведомости","2025-12-10T11:38:35","https://www.vedomosti.ru/auto/news/2025/12/10/1162030-vozvraschenie-renault-i-nissan","https://cdn.vdmsti.ru/image/2025/9k/ov1js/normal-w80.jpg","Авто / Автомобильная промышленность","Politics","1"
"TASS","В Липецкой области объявили угрозу атаки БПЛА","","2025-12-23T21:14:17","https://tass.ru/proisshestviya/26000159","","Происшествия","Weather","5"
"Vedomosti.ru","Кто посетил открытие Московского международного кинофестиваля","","2025-04-17T23:27:19","https://www.vedomosti.ru/lifestyle/galleries/2025/04/17/1105135-otkritie-moskovskogo-mezhdunarodnogo-kinofestivalya","https://cdn.vdmsti.ru/image/2025/2z/1d4h3z/normal-1ro0.png","Стиль жизни / Культура","Politics","1"
"RT","Trump dances to YMCA to celebrate 100 days in office (VIDEO)","RT","2025-04-30T11:52:03","https://www.rt.com/pop-culture/616546-donald-trump-ymca-dance/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.04/thumbnail/68120c9b2030271bf71140fa.jpg","Поп-культура","Weather","1"
"Vedomosti.ru","Минпромторг предложил изменить порядок расчета утильсбора на автомобили","Ведомости","2025-09-12T17:04:34","https://www.vedomosti.ru/auto/news/2025/09/12/1138986-minpromtorg-predlozhil","https://cdn.vdmsti.ru/image/2025/73/10a72g/normal-1b0t.png","Авто","Economics","1"
"RT","Ukrainian forces kill 20 civilians in a week – Russian diplomat","RT","2025-12-23T13:40:03","https://www.rt.com/russia/629922-miroshnik-civilian-casualties-update/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/694a942285f5404c150ed570.jpg","Россия","Politics","3"
"RG","Вячеслав Володин подвел итоги осенней сессии Госдумы","RG","2025-12-23T19:52:05","https://rg.ru/2025/12/23/uroki-chteniia.html","","","Unknown","4"
"Vedomosti.ru","""Плац, завод и англичане: как в России появился футбол""","Ренат Дайнутдинов","2025-05-25T09:37:29","https://www.vedomosti.ru/lifestyle/articles/2025/05/25/1112345-plats-zavod","https://cdn.vdmsti.ru/image/2025/3z/17e81x/normal-1k8o.jpg","Стиль жизни / Спорт","Politics","1"
"Vedomosti.ru","«Урок»: снова в школу","Роман Черкасов","2025-04-30T00:16:28","https://www.vedomosti.ru/opinion/columns/2025/04/30/1107593-urok-snova-v-shkolu","https://cdn.vdmsti.ru/image/2025/3b/1bht22/normal-1pjw.jpg","Мнения","Society","1"
"Vedomosti.ru","В 2025 году число онлайн-покупателей выросло на 16%","Ведомости","2025-12-17T14:08:04","https://www.vedomosti.ru/business/news/2025/12/17/1164044-v-2025-godu-chislo","https://cdn.vdmsti.ru/image/2025/9r/tv38z/normal-12pc.jpg","Бизнес / Торговля и услуги","Politics","1"
"Vedomosti.ru","«Чуковский»: тень Гамлета","Наталья Витвицкая","2025-09-26T00:04:35","https://www.vedomosti.ru/opinion/columns/2025/09/26/1142108-chukovskii-ten-gamleta","https://cdn.vdmsti.ru/image/2025/7g/1dnlsx/normal-1scq.jpg","Мнения","Unknown","1"
"Vedomosti.ru","Ротанговые розги для кибермошенников","Елена Авакян","2025-12-22T00:39:38","https://www.vedomosti.ru/opinion/columns/2025/12/22/1165137-rotangovie-rozgi-dlya-kibermoshennikov","https://cdn.vdmsti.ru/image/2025/9w/17l2e/normal-1ki.jpg","Мнения","Science and tech","2"
"RT","China launches probe into US chip giants","RT","2025-09-15T11:44:05","https://www.rt.com/business/624669-china-us-chip-probe-trade/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.09/thumbnail/68c7f59b2030277faa1c923d.jpg","Бизнес","Science and tech","1"
"Vedomosti.ru","Стоимость аренды квартир в России практически достигла прошлогоднего пика","Мария Асиновская","2025-07-30T00:43:43","https://www.vedomosti.ru/realty/articles/2025/07/30/1127898-stoimost-arendi-kvartir-v-rossii-prakticheski-dostigla-proshlogodnego-pika","https://cdn.vdmsti.ru/image/2025/5u/1d0ohp/normal-1rj1.png","Недвижимость / Жилая недвижимость","Politics","1"
"Vedomosti.ru","Авторынок ускорил падение в августе","Светлана Афонина","2025-09-03T07:00:10","https://www.vedomosti.ru/auto/articles/2025/09/03/1136110-avtorinok-uskoril-padenie","https://cdn.vdmsti.ru/image/2025/6t/1e5qce/normal-1t0a.png","Авто","Economics","1"
"RT","This man destroyed a country and half a million lives and got five years","RT","2025-09-26T17:29:33","https://www.rt.com/news/625339-sarkozy-conviction-libya-gaddafi/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.09/thumbnail/68d6d16820302753473d7a3f.jpg","Мнения","Unknown","1"
"RT","EU to unlock €500mn in bid for Orban’s Russia sanctions backing – FT","RT","2025-09-19T19:01:48","https://www.rt.com/business/624933-eu-hungary-russia-sanctions/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.09/thumbnail/68cd9f3d20302770f572ce84.jpg","Бизнес","Politics","1"
"RT","""Bats, ballads, and brutal honesty: Remembering Ozzy Osbourne""","RT","2025-07-23T21:07:40","https://www.rt.com/pop-culture/621903-bats-ballads-and-brutal-honesty/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.07/thumbnail/68814d7a20302720533ebda7.jpeg","Поп-культура","Culture","1"
"Vedomosti.ru","Возвращение Гоши Рубчинского","Максим Цуланов","2025-04-21T14:09:28","https://www.vedomosti.ru/lifestyle/articles/2025/04/21/1103982-vozvraschenie-goshi-rubchinskogo","https://cdn.vdmsti.ru/image/2025/2u/wi6dn/normal-164j.jpg","Стиль жизни / Культура","Culture","1"
"Vedomosti.ru","Правительство поставило точку в обсуждении вопроса о пальмовом масле","""Екатерина Дорофеева, Валерия Кузьменко, Елена Мухаметшина""","2025-12-11T00:34:55","https://www.vedomosti.ru/business/articles/2025/12/11/1162273-pravitelstvo-postavilo-tochku-v-obsuzhdenii-voprosa-o-palmovom-masle","https://cdn.vdmsti.ru/image/2025/9k/1d8u8q/normal-1rtm.jpg","Бизнес / Торговля и услуги","Politics","1"
"Vedomosti.ru","Готовые квартиры в России в октябре подорожали на 1%","Мария Асиновская","2025-10-30T01:23:09","https://www.vedomosti.ru/realty/articles/2025/10/30/1150964-gotovie-kvartiri-podorozhali","https://cdn.vdmsti.ru/image/2025/8e/1d8q7d/normal-1rtg.jpg","Недвижимость / Жилая недвижимость","Politics","1"
"Vedomosti.ru","ВТБ и Минюст подписали соглашение о сотрудничестве","Ведомости","2025-12-02T12:29:18","https://www.vedomosti.ru/finance/news/2025/12/02/1159855-vtb-i-minyust","https://cdn.vdmsti.ru/image/2025/9c/q8m2z/normal-y07.jpg","Финансы / Банки","Politics","1"
"Vedomosti.ru","В России сильно увеличился срок владения легковыми машинами","Ведомости","2025-11-13T17:44:10","https://www.vedomosti.ru/auto/news/2025/11/13/1154718-silno-uvelichilsya-srok","https://cdn.vdmsti.ru/image/2025/8t/11g8bd/normal-1cjb.jpg","Авто / Легковые автомобили","Politics","1"
"Vedomosti.ru","«Сущность»: чувство в перьях","Роман Черкасов","2025-11-14T00:01:00","https://www.vedomosti.ru/opinion/columns/2025/11/14/1154808-suschnost-chuvstvo-peryah","https://cdn.vdmsti.ru/image/2025/8t/1d6g4z/normal-1rqj.jpg","Мнения","Unknown","1"
"RT","EU pushing ‘Buy European’ rule for arming Ukraine – Bloomberg","RT","2025-12-18T12:51:25","https://www.rt.com/news/629588-eu-frozen-assets-defense/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/6943f7aa85f54012d60a92c6.jpg","Новости","Politics","1"
"RT","Will Trump cave to Zelensky and sink his own peace deal?","RT","2025-11-26T19:36:32","https://www.rt.com/news/628475-trump-zelensky-peace-plan/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.11/thumbnail/69282937203027380104d398.jpg","Мнения","Politics","1"
"Vedomosti.ru","Конституционный суд отрегулировал цены","Вадим Зарипов","2025-12-17T01:45:22","https://www.vedomosti.ru/opinion/columns/2025/12/17/1163872-konstitutsionnii-sud-otreguliroval-tseni","https://cdn.vdmsti.ru/image/2025/9q/1ed636/normal-1t9w.jpg","Мнения","Unknown","1"
"RT","Italian governor defies EU calls to cancel renowned Russian conductor","RT","2025-07-13T15:16:07","https://www.rt.com/pop-culture/621412-italy-governor-culture-politics-gergiev/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.07/thumbnail/6873bfca203027229a53b3a9.jpg","Поп-культура","Politics","1"
"RT","‘We are not gays’: What British colonialism has to do with LGBTQ","RT","2025-10-23T11:08:39","https://www.rt.com/africa/626812-between-sovereignty-and-western-pressure-lgbtq/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.10/thumbnail/68f8ed98203027442a2ecf0b.jpg","Мнения","Science and tech","1"
"Vedomosti.ru","«Телемост» от «Яндекса» запустил звонки по адресной книге","Ведомости","2025-12-22T17:06:31","https://www.vedomosti.ru/technology/news/2025/12/22/1165404-telemost-ot-yandeksa","https://cdn.vdmsti.ru/image/2025/9w/10170q/normal-1ap7.png","Технологии / Телекоммуникации","Politics","2"
"RT","Zelensky stealing election before it has been announced","RT","2025-12-16T16:49:46","https://www.rt.com/news/629520-zelensky-ukraine-election-conditions/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/694170de85f54074d45aeef5.jpg","Мнения","Politics","1"
"RT","IMF issues global debt warning","RT","2025-10-09T08:10:39","https://www.rt.com/business/626117-global-public-debt-imf/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.10/thumbnail/68e76db6203027693a154a71.jpg","Бизнес","Economics","1"
"Vedomosti.ru","Силуанов заявил о ненадежности доллара","Ведомости","2025-11-25T12:31:45","https://www.vedomosti.ru/finance/news/2025/11/25/1157883-siluanov-zayavil","https://cdn.vdmsti.ru/image/2025/95/q5kix/normal-xwa.jpg","Финансы / Рынки","Economics","1"
"Vedomosti.ru","ФСБ будет координировать все действия в случае кибератак","""Мария Арялина, Георгий Недогибченко""","2025-11-21T01:23:50","https://www.vedomosti.ru/society/articles/2025/11/21/1156811-fsb-budet-koordinirovat-vse-deistviya-v-sluchae-kiberatak","https://cdn.vdmsti.ru/image/2025/90/1ddylx/normal-1s0a.png","Общество","Science and tech","1"
"Vedomosti.ru","Спикер Рады: закон о выборах в условиях военного положения будет одноразовым","Ведомости","2025-12-22T22:24:41","https://www.vedomosti.ru/politics/news/2025/12/22/1165519-zakon-budet-odnorazovim","https://cdn.vdmsti.ru/image/2025/9w/1bvtbt/normal-1q26.png","Политика / Международные новости","Politics","3"
"Vedomosti.ru","""Никас Сафронов: «Если художник известен, то он успешен»""","Степан Максимов","2025-11-28T00:02:00","https://www.vedomosti.ru/lifestyle/characters/2025/11/28/1158817-nikas-safronov-esli-hudozhnik-izvesten-to-on-uspeshen","https://cdn.vdmsti.ru/image/2025/97/1a29zk/normal-1np5.jpg","Стиль жизни / Культура","Politics","1"
"RT","Kanye West walks back earlier Nazi comments","RT","2025-04-21T16:56:17","https://www.rt.com/pop-culture/616070-kanye-west-says-not-nazi/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.04/thumbnail/680673da85f5402241778972.jpg","Поп-культура","Culture","1"
"Vedomosti.ru","ФСТЭК определила угрозы безопасности от искусственного интеллекта","Мария Арялина","2025-12-23T00:09:00","https://www.vedomosti.ru/technology/articles/2025/12/23/1165524-fstek-opredelila-ugrozi-bezopasnosti","https://cdn.vdmsti.ru/image/2025/9w/1crktn/normal-1r79.png","Технологии / ИТ-бизнес","Culture","3"
"Vedomosti.ru","Структура мэрии Москвы продаст проект второй очереди комплекса Will Towers в Раменках","Екатерина Волкова","2025-11-12T01:38:11","https://www.vedomosti.ru/realty/articles/2025/11/12/1154088-struktura-merii-moskvi-prodast-proekt-vtoroi-ocheredi-kompleksa-will-towers","https://cdn.vdmsti.ru/image/2025/8r/1ddfj6/normal-1rzj.png","Недвижимость / Жилая недвижимость","Science and tech","1"
"Vedomosti.ru","Плодиться и размножаться","Федор Сухоруков","2025-12-10T01:08:06","https://www.vedomosti.ru/opinion/columns/2025/12/10/1161897-ploditsya-i-razmnozhatsya","https://cdn.vdmsti.ru/image/2025/9j/1b5i7r/normal-1p3z.jpg","Мнения","Unknown","1"
"RT","Russia ups legal risk for European banks over frozen assets","RT","2025-12-19T13:23:20","https://www.rt.com/russia/629742-russia-sue-european-banks-assets/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/694535e220302705ba3109b3.jpg","Россия","Politics","1"
"Lenta.ru","Открытки с Днем Николая Чудотворца: 50+ картинок и поздравлений","Нэлли Свердлова","2025-12-18T21:31:32","https://lenta.ru/articles/2025/12/18/otkrytki-nikolaj-ugodnik/","https://icdn.lenta.ru/images/2025/10/28/18/20251028181330459/pic_f9334eb1a93273b6f0abcbaf5eeb67c2.jpg","Из жизни","Science and tech","1"
"Lenta.ru","""СВО изменила рынок вооружений. Огнеметный «Дракон», новые «Герани» и лазеры. Какое оружие появилось в России?""","Даниил Иринин","2025-12-15T00:01:38","https://lenta.ru/articles/2025/12/15/weapon25/","https://icdn.lenta.ru/images/2025/12/12/15/20251212152231215/pic_dd1627926d90ca217f53b839a7e96c7f.jpg","Наука и техника","Politics","1"
"Vedomosti.ru","Ключи от странового дисконта","Иван Скавыш","2025-12-16T01:12:28","https://www.vedomosti.ru/opinion/columns/2025/12/16/1163525-klyuchi-ot-stranovogo-diskonta","https://cdn.vdmsti.ru/image/2025/9p/1c4b5x/normal-1qd3.jpg","Мнения","Unknown","1"
"Vedomosti.ru","""Путин: РФ может утратить суверенитет, если не будет производить свои автомобили""","Ведомости","2025-07-20T14:19:40","https://www.vedomosti.ru/politics/news/2025/07/20/1125564-rf-mozhet-utratit","","Политика / Власть","Politics","1"
"Vedomosti.ru","""Инвестиции региональных девелоперов в московскую землю увеличились в 2,5 раза""","Мария Асиновская","2025-07-10T00:23:02","https://www.vedomosti.ru/realty/articles/2025/07/10/1123325-investitsii-v-moskovskuyu-zemlyu","https://cdn.vdmsti.ru/image/2025/5a/1cvlig/normal-1rcg.jpg","Недвижимость / Жилая недвижимость","Politics","1"
"Vedomosti.ru","Российские компании зачастую недовольны своим кадровым резервом","Мария Подцероб","2025-09-30T01:38:12","https://www.vedomosti.ru/management/articles/2025/09/30/1142927-rossiiskie-kompanii-zachastuyu-nedovolni-svoim-kadrovim-rezervom","https://cdn.vdmsti.ru/image/2025/7k/1bztll/normal-1q79.jpg","Менеджмент / Управление","Politics","1"
"Vedomosti.ru","Чистая прибыль BMW выросла втрое в III квартале 2025 года","Ведомости","2025-11-05T16:52:51","https://www.vedomosti.ru/investments/news/2025/11/05/1152415-pribil-bmw-virosla","https://cdn.vdmsti.ru/image/2025/8l/ztdp6/normal-1af4.png","Инвестиции / Эмитенты","Economics","1"
"RT","Star Russian conductor’s concert in Italy canceled","RT","2025-07-21T15:50:02","https://www.rt.com/pop-culture/621761-gergiev-concert-italy-canceled/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.07/thumbnail/687e201385f5406a2107229c.jpg","Поп-культура","Politics","1"
"Vedomosti.ru","Тормозной путь","Даниил Наметкин","2025-12-15T00:08:12","https://www.vedomosti.ru/opinion/columns/2025/12/15/1163142-tormoznoi-put","https://cdn.vdmsti.ru/image/2025/9p/8ytfo/normal-bmd.jpg","Мнения","Travels and tourism","1"
"RT","Trump Media to merge with Google-backed nuclear fusion firm","RT","2025-12-19T09:09:19","https://www.rt.com/business/629713-trump-fusion-firm-deal/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/694515d02030276f8770f04b.jpg","Бизнес","Science and tech","1"
"RT","Kremlin reacts to Zelensky’s election claims","RT","2025-12-21T01:51:01","https://www.rt.com/russia/629829-kremlin-zelensky-election-contradictions/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/69472fc585f540753921ec1d.jpg","","Unknown","2"
"Vedomosti.ru","«Соллерс» обновил планы по инвестициям на ближайшие годы","""Артем Гришков, Денис Ильюшенков""","2025-12-12T15:00:00","https://www.vedomosti.ru/auto/articles/2025/12/12/1162825-sollers-obnovil","https://cdn.vdmsti.ru/image/2025/9m/vrbo8/normal-155q.jpg","Авто / Автомобильная промышленность","Politics","1"
"Vedomosti.ru","Reuters: Япония готовится перезапустить крупнейшую в мире АЭС","Ведомости","2025-12-22T11:29:56","https://www.vedomosti.ru/politics/news/2025/12/22/1165229-reuters-yaponiya-gotovitsya","https://cdn.vdmsti.ru/image/2025/9w/o3z7n/normal-v8w.jpg","Политика / Международные новости","Politics","2"
"RT","Zelensky’s election call a ploy – Putin aide","RT","2025-12-12T14:48:45","https://www.rt.com/russia/629365-zelenskys-election-call-ploy-ushakov/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/693c296385f54053ce761b72.jpg","Россия","Politics","1"
"Vedomosti.ru","Региональный девелопер Dars начинает свой первый коммерческий проект в Москве","Екатерина Волкова","2025-07-04T00:15:10","https://www.vedomosti.ru/realty/articles/2025/07/04/1122034-developer-dars-nachinaet-kommercheskii-proekt-v-moskve","https://cdn.vdmsti.ru/image/2025/54/1ep0cx/normal-1tp7.jpg","Недвижимость / Жилая недвижимость","Politics","1"
"Vedomosti.ru","Университетам тяжело в учении","Александра Линникова","2025-09-18T00:01:02","https://www.vedomosti.ru/opinion/columns/2025/09/18/1140037-universitetam-tyazhelo-v-uchenii","https://cdn.vdmsti.ru/image/2025/78/1bfljf/normal-1ph2.jpg","Мнения","Society","1"
"Vedomosti.ru","Ремонт московских офисов за год подорожал на 20%","Мария Асиновская","2025-08-18T00:12:39","https://www.vedomosti.ru/realty/articles/2025/08/18/1132237-remont-moskovskih-ofisov-podorozhal","https://cdn.vdmsti.ru/image/2025/6d/19eqdd/normal-1mum.jpg","Недвижимость / Коммерческая недвижимость","Politics","1"
"Lenta.ru","Лампочка Ильича. 105 лет назад начался первый мегапроект СССР. Как он изменил страну?","Ярослав Солонин","2025-12-22T00:01:00","https://lenta.ru/articles/2025/12/22/goelro/","https://icdn.lenta.ru/images/2025/12/18/13/20251218135425671/pic_dda8f1db88cdaf87b6a391a67f4c3282.jpg","Наука и техника","Health","2"
"Vedomosti.ru","В Китае оценили сроки постройки «Силы Сибири – 2»","Ведомости","2025-12-11T14:33:50","https://www.vedomosti.ru/business/news/2025/12/11/1162452-v-kitae-otsenili","https://cdn.vdmsti.ru/image/2025/9l/uxg64/normal-1431.jpg","Бизнес / ТЭК","Health","1"
"Vedomosti.ru","В Сбербанке призвали усилить наказание за мошенничество с дипфейками","Ведомости","2025-11-18T16:54:24","https://www.vedomosti.ru/finance/news/2025/11/18/1155968-v-sberbanke-prizvali","https://cdn.vdmsti.ru/image/2025/8y/zyj0g/normal-1als.png","Финансы / Банки","Politics","1"
"Vedomosti.ru","«A Sinistra»: Виктор Пелевин и философский камень","Николай Корнацкий","2025-09-19T00:38:45","https://www.vedomosti.ru/opinion/columns/2025/09/19/1140388-a-sinistra-viktor-pelevin-i-filosofskii-kamen","https://cdn.vdmsti.ru/image/2025/79/1cbhil/normal-1qmd.jpg","Мнения","Health","1"
"Vedomosti.ru","Участки под жилье в Москве за год подорожали более чем на 20%","Мария Асиновская","2025-12-08T00:17:00","https://www.vedomosti.ru/realty/articles/2025/12/08/1161240-uchastki-pod-zhile-v-podorozhali","https://cdn.vdmsti.ru/image/2025/9i/cpe/normal-h.jpg","Недвижимость / Коммерческая недвижимость","Politics","1"
"Lenta.ru","В российском регионе прогремела серия взрывов","Марина Совина","2025-12-23T02:50:00","https://lenta.ru/news/2025/12/23/v-rossiyskom-regione-progremela-seriya-vzryvov/","https://icdn.lenta.ru/images/2025/12/23/02/20251223025101436/pic_7e78757e15c5934a5d37abe729f3f605.jpg","Россия","Politics","3"
"Vedomosti.ru","Лавров: насчет нефтяной индустрии Сербии ведутся переговоры","Ведомости","2025-12-11T13:27:12","https://www.vedomosti.ru/politics/news/2025/12/11/1162424-lavrov-naschet","https://cdn.vdmsti.ru/image/2025/9l/s96n9/normal-10ma.jpg","Политика / Международные отношения","Politics","1"
"Vedomosti.ru","Розничная продажа алкоголя в России снизилась почти на 10% за 11 месяцев","Ведомости","2025-12-15T08:01:04","https://www.vedomosti.ru/business/news/2025/12/15/1163197-roznichnaya-prodazha-alkogolya","https://cdn.vdmsti.ru/image/2025/9p/gsu0i/normal-lrv.jpg","Бизнес / Торговля и услуги","Politics","1"
"Vedomosti.ru","Больше половины российских регионов столкнулись с дефицитом бюджета","Ксения Котченко","2025-11-25T00:08:00","https://www.vedomosti.ru/economics/articles/2025/11/25/1157739-bolshe-polovini-rossiiskih-regionov-stolknulis-s-defitsitom","https://cdn.vdmsti.ru/image/2025/94/1eqxko/normal-1trr.png","Экономика / Макроэкономика и бюджет","Politics","1"
"RT","Czech voters chose real nationalism over Brussels dogma","RT","2025-10-04T23:21:42","https://www.rt.com/news/625928-chzech-electon-natiohnalism-realism/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.10/thumbnail/68e1abda85f5407ab22c92c6.jpg","Мнения","Society","1"
"RT","Fitch hits France with record-low credit score","RT","2025-09-14T14:26:15","https://www.rt.com/business/624642-fitch-france-downgrade-record/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.09/thumbnail/68c6a9d120302726a216b4f7.jpg","Бизнес","Economics","1"
